02/12 11:01:11 | INFO | 829913 | :...mailslot_create: creating mailslot for dump
02/12 11:01:11 | INFO | 829912 | :..mailbox_register: mailbox allocated for dump
02/12 11:01:11 | INFO | 829913 | :...mailslot_create: creating mailslot for (broken) pipe
02/12 11:01:11 | INFO | 829912 | :..mailbox_register: mailbox allocated for pipe
02/12 11:01:11 | INFO | 829912 | :.main: rsvpd initialization complete
02/12 11:02:50 | INFO | 829913 | :......rsvp_api_open: accepted a new connection for rapi
02/12 11:02:50 | INFO | 829913 | :.......mailbox_register: mailbox allocated for mailbox
02/12 11:02:50 | TRACE | 829914 | :......rsvp_event_mapSession: Session=9.67.116.99:1047:6 does not exist
02/12 11:02:50 | EVENT | 829913 | :.....api_reader: api request SESSION
02/12 11:02:50 | TRACE | 829914 | :......rsvp_event_establishSession: local node will send
02/12 11:02:50 | INFO | 829913 | :........router_forward_getOI: Ioctl to get route entry successful
02/12 11:02:50 | TRACE | 829914 | :........router_forward_getOI:         source address:   9.67.116.98
02/12 11:02:50 | TRACE | 829914 | :........router_forward_getOI:         out inf:   9.67.116.98
02/12 11:02:50 | TRACE | 829914 | :........router_forward_getOI:         gateway:   0.0.0.0
02/12 11:02:50 | TRACE | 829914 | :........router_forward_getOI:         route handle:   7f5251c8
02/12 11:02:50 | TRACE | 829914 | :.......event_establishSessionSend: found outgoing if=9.67.116.98 through forward engine
02/12 11:02:50 | TRACE | 829914 | :......rsvp_event_mapSession: Session=9.67.116.99:1047:6 exists
02/12 11:02:50 | EVENT | 829913 | :.....api_reader: api request SENDER
02/12 11:02:50 | INFO | 829913 | :.......init_policyAPI: papi_debug:  Entering 
02/12 11:02:50 | INFO | 829913 | :.......init_policyAPI: papi_debug:  papiLogFunc = 98681F0 papiUserValue = 0
02/12 11:02:50 | INFO | 829913 | :.......init_policyAPI: papi_debug:  Exiting
02/12 11:02:50 | INFO | 829913 | :.......init_policyAPI: APIInitialize:  Entering
02/12 11:02:50 | INFO | 829913 | :.......init_policyAPI: open_socket:  Entering
02/12 11:02:50 | INFO | 829913 | :.......init_policyAPI: open_socket:  Exiting
02/12 11:02:50 | INFO | 829914 | :.......init_policyAPI: APIInitialize:  ApiHandle = 98BDFB0,  connfd = 22
02/12 11:02:50 | INFO | 829913 | :.......init_policyAPI: APIInitialize:  Exiting
02/12 11:02:51 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: ReadBuffer:  Entering
02/12 11:02:52 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: ReadBuffer:  Exiting
02/12 11:02:52 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: RSVPPutActionName:  Result = 0
02/12 11:02:52 | INFO | 829914 | :..........rpapi_Reg_UnregFlow: RSVPPutActionName:  Exiting
02/12 11:02:52 | INFO | 829913 | :..........rpapi_Reg_UnregFlow: flow[sess=9.67.116.99:1047:6, source=9.67.116.98:8000] registered with CLCat2
02/12 11:02:52 | EVENT | 829913 | :..........qosmgr_response: RESVRESP from qosmgr, reason=0, qoshandle=8b671d0
02/12 11:02:52 | INFO | 829913 | :..........qosmgr_response: src-9.67.116.98:8000 dst-9.67.116.99:1047 proto-6
02/12 11:02:52 | TRACE | 829914 | :...........traffic_reader: tc response msg=1, status=1
02/12 11:02:52 | INFO | 829914 | :...........traffic_reader: Reservation req successful[session=9.67.116.99:1047:6, source=9.67.116.98:8000, qoshd=8b671d0]
02/12 11:02:52 | TRACE | 829914 | :........api_action_sender: constructing a RESV
02/12 11:02:52 | TRACE | 829914 | :........flow_timer_stop: stopped T1
02/12 11:02:52 | TRACE | 829914 | :........flow_timer_stop: Stop T4
02/12 11:02:52 | TRACE | 829914 | :........flow_timer_start: started T1
02/12 11:02:52 | TRACE | 829914 | :........flow_timer_start: Start T4
02/12 11:02:52 | TRACE | 829914 | :.......rsvp_flow_stateMachine: entering state RESVED
02/12 11:03:07 | EVENT | 829912 | :..mailslot_sitter: process received signal SIGALRM
02/12 11:03:07 | TRACE | 829914 | :.....event_timerT1_expire: T1 expired
02/12 11:03:07 | INFO | 829913 | :......router_forward_getOI: Ioctl to query route entry successful
02/12 11:03:07 | TRACE | 829914 | :......router_forward_getOI:         source address:   9.67.116.98
02/12 11:03:07 | TRACE | 829914 | :......router_forward_getOI:         out inf:   9.67.116.98
02/12 11:03:07 | TRACE | 829914 | :......router_forward_getOI:         gateway:   0.0.0.0
02/12 11:03:07 | TRACE | 829914 | :......router_forward_getOI:         route handle:   7f5251c8
02/12 11:03:07 | INFO | 829913 | :......rsvp_flow_stateMachine: state RESVED, event T1OUT
02/12 11:03:07 | TRACE | 829912 | :.......rsvp_action_nHop: constructing a PATH
02/12 11:03:07 | TRACE | 829914 | :.......flow_timer_start: started T1
02/12 11:03:07 | TRACE | 829914 | :......rsvp_flow_stateMachine: reentering state RESVED
02/12 11:03:07 | TRACE | 829914 | :.......mailslot_send: sending to (9.67.116.99:0)
02/12 11:03:22 | TRACE | 829914 | :.....rsvp_event: received event from RAW-IP on interface 9.67.116.98
02/12 11:03:22 | TRACE | 829914 | :......rsvp_explode_packet: v=1,flg=0,type=2,cksm=54875,ttl=255,rsv=0,len=84
02/12 11:03:22 | TRACE | 829914 | :.......rsvp_parse_objects: STYLE is WF
02/12 11:03:22 | INFO | 829913 | :.......rsvp_parse_objects: obj RSVP_HOP hop=9.67.116.99, lih=0
02/12 11:03:22 | TRACE | 829914 | :......rsvp_event_mapSession: Session=9.67.116.99:1047:6 exists
02/12 11:03:22 | INFO | 829914 | :.......rsvp_flow_stateMachine: state RESVED, event RESV
02/12 11:03:22 | TRACE | 829914 | :........flow_timer_stop: Stop T4
02/12 11:03:22 | TRACE | 829912 | :........flow_timer_start: Start T4
02/12 11:03:22 | TRACE | 829914 | :.......rsvp_flow_stateMachine: reentering state RESVED
02/12 11:03:22 | EVENT | 829912 | :..mailslot_sitter: process received signal SIGALRM
02/12 11:03:22 | TRACE | 829914 | :.....event_timerT1_expire: T1 expired
02/12 11:03:22 | INFO | 829914 | :......router_forward_getOI: Ioctl to query route entry successful
02/12 11:03:22 | TRACE | 829914 | :......router_forward_getOI:         source address:   9.67.116.98
02/12 11:03:22 | TRACE | 829914 | :......router_forward_getOI:         out inf:   9.67.116.98
02/12 11:03:22 | TRACE | 829914 | :......router_forward_getOI:         gateway:   0.0.0.0
02/12 11:03:22 | TRACE | 829914 | :......router_forward_getOI:         route handle:   7f5251c8
02/12 11:03:22 | INFO | 829912 | :......rsvp_flow_stateMachine: state RESVED, event T1OUT
02/12 11:03:22 | TRACE | 829914 | :.......rsvp_action_nHop: constructing a PATH
02/12 11:03:22 | TRACE | 829914 | :.......flow_timer_start: started T1
02/12 11:03:22 | TRACE | 829914 | :......rsvp_flow_stateMachine: reentering state RESVED
02/12 11:03:22 | TRACE | 829914 | :.......mailslot_send: sending to (9.67.116.99:0)
02/12 11:03:38 | EVENT | 829912 | :..mailslot_sitter: process received signal SIGALRM
02/12 11:03:38 | TRACE | 829914 | :.....event_timerT1_expire: T1 expired
02/12 11:03:38 | INFO | 829913 | :......router_forward_getOI: Ioctl to query route entry successful
02/12 11:03:38 | TRACE | 829914 | :......router_forward_getOI:         source address:   9.67.116.98
02/12 11:03:38 | TRACE | 829914 | :......router_forward_getOI:         out inf:   9.67.116.98
02/12 11:03:38 | TRACE | 829914 | :......router_forward_getOI:         gateway:   0.0.0.0
02/12 11:03:38 | TRACE | 829914 | :......router_forward_getOI:         route handle:   7f5251c8
02/12 11:03:38 | INFO | 829913 | :......rsvp_flow_stateMachine: state RESVED, event T1OUT
02/12 11:03:38 | TRACE | 829914 | :.......rsvp_action_nHop: constructing a PATH
02/12 11:03:38 | TRACE | 829914 | :.......flow_timer_start: started T1
02/12 11:03:38 | TRACE | 829914 | :......rsvp_flow_stateMachine: reentering state RESVED
02/12 11:03:38 | TRACE | 829914 | :.......mailslot_send: sending to (9.67.116.99:0)
02/12 11:03:52 | TRACE | 829914 | :.....rsvp_event: received event from RAW-IP on interface 9.67.116.98
02/12 11:03:52 | TRACE | 829914 | :......rsvp_explode_packet: v=1,flg=0,type=2,cksm=54875,ttl=255,rsv=0,len=84
02/12 11:03:52 | TRACE | 829914 | :.......rsvp_parse_objects: STYLE is WF
02/12 11:03:52 | INFO | 829913 | :.......rsvp_parse_objects: obj RSVP_HOP hop=9.67.116.99, lih=0
02/12 11:03:52 | TRACE | 829914 | :......rsvp_event_mapSession: Session=9.67.116.99:1047:6 exists
02/12 11:03:52 | INFO | 829913 | :.......rsvp_flow_stateMachine: state RESVED, event RESV
02/12 11:03:52 | TRACE | 829914 | :........flow_timer_stop: Stop T4
02/12 11:03:52 | TRACE | 829915 | :........flow_timer_start: Start T4
02/12 11:03:52 | TRACE | 829914 | :.......rsvp_flow_stateMachine: reentering state RESVED
02/12 11:03:53 | EVENT | 829912 | :..mailslot_sitter: process received signal SIGALRM
02/12 11:03:53 | TRACE | 829914 | :.....event_timerT1_expire: T1 expired
02/12 11:03:53 | INFO | 829913 | :......router_forward_getOI: Ioctl to query route entry successful
02/12 11:03:53 | TRACE | 829914 | :......router_forward_getOI:         source address:   9.67.116.98
02/12 11:03:53 | TRACE | 829914 | :......router_forward_getOI:         out inf:   9.67.116.98
02/12 11:03:53 | TRACE | 829914 | :......router_forward_getOI:         gateway:   0.0.0.0
02/12 11:03:53 | TRACE | 829914 | :......router_forward_getOI:         route handle:   7f5251c8
02/12 11:03:53 | INFO | 829913 | :......rsvp_flow_stateMachine: state RESVED, event T1OUT
02/12 11:03:53 | TRACE | 829914 | :.......rsvp_action_nHop: constructing a PATH
02/12 11:03:53 | TRACE | 829914 | :.......flow_timer_start: started T1
02/12 11:03:53 | TRACE | 829914 | :......rsvp_flow_stateMachine: reentering state RESVED
02/12 11:03:53 | TRACE | 829914 | :.......mailslot_send: sending to (9.67.116.99:0)
02/12 11:04:09 | EVENT | 829912 | :..mailslot_sitter: process received signal SIGALRM
02/12 11:04:09 | TRACE | 829914 | :.....event_timerT1_expire: T1 expired
02/12 11:04:09 | INFO | 829913 | :......router_forward_getOI: Ioctl to query route entry successful
02/12 11:04:09 | TRACE | 829914 | :......router_forward_getOI:         source address:   9.67.116.98
02/12 11:04:09 | TRACE | 829914 | :......router_forward_getOI:         out inf:   9.67.116.98
02/12 11:04:09 | TRACE | 829914 | :......router_forward_getOI:         gateway:   0.0.0.0
02/12 11:04:09 | TRACE | 829914 | :......router_forward_getOI:         route handle:   7f5251c8
02/12 11:04:09 | WARNING | 829913 | :......rsvp_flow_stateMachine: state RESVED, event T1OUT
02/12 11:04:09 | TRACE | 829914 | :.......rsvp_action_nHop: constructing a PATH
02/12 11:04:09 | TRACE | 829914 | :.......flow_timer_start: started T1
02/12 11:04:09 | TRACE | 829914 | :......rsvp_flow_stateMachine: reentering state RESVED
02/12 11:04:09 | TRACE | 829914 | :.......mailslot_send: sending to (9.67.116.99:0)
02/12 11:04:22 | TRACE | 829914 | :.....rsvp_event: received event from RAW-IP on interface 9.67.116.98
